description,development-plan-document,document-url,development-plan-types,development-policies,end-date,entry-date,geographies,name,notes,organisations,start-date,slug
Covers former WDC area,dev-plan-buc-dsa,https://www.wycombe.gov.uk/uploads/public/documents/Planning/Planning-policy/DSA2012/Adopted-delivery-and-site-allocations-plan.pdf,,dsa-HWTC1;dsa-HWTC2;dsa-HWTC3;dsa-HWTC4;dsa-HWTC5;dsa-HWTC6;dsa-HWTC7;dsa-HWTC8;dsa-HWTC9;dsa-HWTC10;dsa-HWTC11;dsa-HWTC12;dsa-HWTC13;dsa-HWTC14;dsa-HWTC15;dsa-HWTC16;dsa-HWTC17;dsa-HWTC18;dsa-HWTC19;dsa-HWTC20;dsa-HWTC21;dsa-HW1;dsa-HW2;dsa-HW3;dsa-MR1;dsa-MR2;dsa-MR3;dsa-MR4;dsa-MR5;dsa-PR1;dsa-PR2;dsa-DM1;dsa-DM2;dsa-DM3;dsa-DM4;dsa-DM5;dsa-DM6;dsa-DM7;dsa-DM8;dsa-DM9;dsa-DM10;dsa-DM11;dsa-DM12;dsa-DM13;dsa-DM14;dsa-DM15;dsa-DM16;dsa-DM19,2026-12-31,2020-12-08,E07000007,Adopted Delivery and Site Allocations Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-dsa
Covers former SBDC area,dev-plan-buc-sbcs,https://southbucks.gov.uk/planning/corestrategy,,sbcs-CP1;sbcs-CP2;sbcs-CP3;sbcs-CP4;sbcs-CP5;sbcs-CP6;sbcs-CP7;sbcs-CP8;sbcs-CP9;sbcs-CP10;sbcs-CP11;sbcs-CP12;sbcs-CP13;sbcs-CP14;sbcs-CP15;sbcs-CP16;sbcs-CP17,2026-12-31,2020-12-08,E07000006,South Bucks Core Strategy 2011,,local-authority-eng:SBU,2011-02-22,/development-plan-document/local-authority-eng/SBU/dev-plan-buc-sbcs
Covers former SBDC area,dev-plan-buc-sbcs,https://southbucks.gov.uk/planning/corestrategy,,sbcs-CP1;sbcs-CP2;sbcs-CP3;sbcs-CP4;sbcs-CP5;sbcs-CP6;sbcs-CP7;sbcs-CP8;sbcs-CP9;sbcs-CP10;sbcs-CP11;sbcs-CP12;sbcs-CP13;sbcs-CP14;sbcs-CP15;sbcs-CP16;sbcs-CP17,2026-12-31,2020-12-08,E07000006,South Bucks Core Strategy 2011,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-sbcs
Covers former SBDC area; amended September 2007 and February 2011,dev-plan-buc-sblp,https://southbucks.gov.uk/planning/localplan1999,,sblp-GB1;sblp-GB2;sblp-GB3;sblp-GB4;sblp-GB5;sblp-GB7;sblp-GB9;sblp-GB10;sblp-GB11;sblp-GB13;sblp-L4;sblp-L10;sblp-C1;sblp-C6;sblp-C15;sblp-EP3;sblp-EP4;sblp-EP5;sblp-EP6;sblp-EP7;sblp-EP16;sblp-EP17;sblp-EP18;sblp-R5;sblp-R6;sblp-R8;sblp-R9;sblp-R10;sblp-H2;sblp-H6;sblp-H9;sblp-H10;sblp-H11;sblp-H12;sblp-H13;sblp-TC1;sblp-S1;sblp-S2;sblp-S3;sblp-S4;sblp-S6;sblp-S9;sblp-E2;sblp-TR4;sblp-TR5;sblp-TR7;sblp-TR10;sblp-TR12;sblp-TR13;sblp-COM1;sblp-COM2,2006-12-31,2020-12-08,E07000006,South Bucks District Local Plan 1999,,local-authority-eng:SBU,1999-03-22,/development-plan-document/local-authority-eng/SBU/dev-plan-buc-sblp
Covers former SBDC area; amended September 2007 and February 2011,dev-plan-buc-sblp,https://southbucks.gov.uk/planning/localplan1999,,sblp-GB1;sblp-GB2;sblp-GB3;sblp-GB4;sblp-GB5;sblp-GB7;sblp-GB9;sblp-GB10;sblp-GB11;sblp-GB13;sblp-L4;sblp-L10;sblp-C1;sblp-C6;sblp-C15;sblp-EP3;sblp-EP4;sblp-EP5;sblp-EP6;sblp-EP7;sblp-EP16;sblp-EP17;sblp-EP18;sblp-R5;sblp-R6;sblp-R8;sblp-R9;sblp-R10;sblp-H2;sblp-H6;sblp-H9;sblp-H10;sblp-H11;sblp-H12;sblp-H13;sblp-TC1;sblp-S1;sblp-S2;sblp-S3;sblp-S4;sblp-S6;sblp-S9;sblp-E2;sblp-TR4;sblp-TR5;sblp-TR7;sblp-TR10;sblp-TR12;sblp-TR13;sblp-COM1;sblp-COM2,2006-12-31,2020-12-08,E07000006,South Bucks District Local Plan 1999,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-sblp
Covers former AVDC area,dev-plan-buc-valp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Submission-VALP-%20high-res2.pdf,,valp-S1;valp-S2;valp-S3;valp-S4;valp-S5;valp-S6;valp-S7;valp-S8;valp-S9;valp-D1;valp-D1-AGT1;valp-D1-AGT2;valp-D1-AGT3;valp-D1-AGT4;valp-D1-AGT5;valp-D1-AGT6;valp-D1-AYL032;valp-D1-AYL073;valp-D1-AYL052;valp-D1-AYL059;valp-D1-AYL077;valp-D1-AYL063;valp-D1-AYL068;valp-D1-AYL115;valp-D1-NLV001;valp-D2;valp-D-BUC043;valp-D-BUC051;valp-D-BUC046;valp-D-HAD007;valp-D-HAL003;valp-D-WIN001;valp-D-SCD003;valp-D-SCD008;valp-D-STO008;valp-D-WHI009;valp-D-CDN001;valp-D-CDN003;valp-D-ICK004;valp-D-MMO006;valp-D-MGB003;valp-D-NLV005;valp-D-QUA001;valp-D-QUA0014-016;valp-D3;valp-D4;valp-D5;valp-D6;valp-D7;valp-D8;valp-D9;valp-D10;valp-H1;valp-H2;valp-H3;valp-H4;valp-H5;valp-H6;valp-H7;valp-E1;valp-E2;valp-E3;valp-E4;valp-E5;valp-E6;valp-E7;valp-E8;valp-E9;valp-E10;valp-T1;valp-T2;valp-T3;valp-T4;valp-T5;valp-T6;valp-T7;valp-BE1;valp-BE2;valp-BE3;valp-BE4;valp-NE1;valp-NE2;valp-NE3;valp-NE4;valp-NE5;valp-NE6;valp-NE7;valp-NE8;valp-NE9;valp-C1;valp-C2;valp-C3;valp-C4;valp-I1;valp-I2;valp-I3;valp-I4;valp-I5;valp-I6,2033-12-31,2020-12-08,E07000004,Vale of Aylesbury Local Plan 2013-2033,,local-authority-eng:AYL,2013-01-01,/development-plan-document/local-authority-eng/AYL/dev-plan-buc-valp
Covers former AVDC area,dev-plan-buc-valp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/Submission-VALP-%20high-res2.pdf,,valp-S1;valp-S2;valp-S3;valp-S4;valp-S5;valp-S6;valp-S7;valp-S8;valp-S9;valp-D1;valp-D1-AGT1;valp-D1-AGT2;valp-D1-AGT3;valp-D1-AGT4;valp-D1-AGT5;valp-D1-AGT6;valp-D1-AYL032;valp-D1-AYL073;valp-D1-AYL052;valp-D1-AYL059;valp-D1-AYL077;valp-D1-AYL063;valp-D1-AYL068;valp-D1-AYL115;valp-D1-NLV001;valp-D2;valp-D-BUC043;valp-D-BUC051;valp-D-BUC046;valp-D-HAD007;valp-D-HAL003;valp-D-WIN001;valp-D-SCD003;valp-D-SCD008;valp-D-STO008;valp-D-WHI009;valp-D-CDN001;valp-D-CDN003;valp-D-ICK004;valp-D-MMO006;valp-D-MGB003;valp-D-NLV005;valp-D-QUA001;valp-D-QUA0014-016;valp-D3;valp-D4;valp-D5;valp-D6;valp-D7;valp-D8;valp-D9;valp-D10;valp-H1;valp-H2;valp-H3;valp-H4;valp-H5;valp-H6;valp-H7;valp-E1;valp-E2;valp-E3;valp-E4;valp-E5;valp-E6;valp-E7;valp-E8;valp-E9;valp-E10;valp-T1;valp-T2;valp-T3;valp-T4;valp-T5;valp-T6;valp-T7;valp-BE1;valp-BE2;valp-BE3;valp-BE4;valp-NE1;valp-NE2;valp-NE3;valp-NE4;valp-NE5;valp-NE6;valp-NE7;valp-NE8;valp-NE9;valp-C1;valp-C2;valp-C3;valp-C4;valp-I1;valp-I2;valp-I3;valp-I4;valp-I5;valp-I6,2033-12-31,2020-12-08,E07000004,Vale of Aylesbury Local Plan 2013-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-valp
Covers former WDC area,dev-plan-buc-wdlp,https://www.wycombe.gov.uk/uploads/public/documents/Planning/Adopted-Wycombe-local-plan/Wycombe-District-Local-Plan-Adopted-August-2019.pdf,,wdlp-CP1;wdlp-CP2;wdlp-CP3;wdlp-CP4;wdlp-CP5;wdlp-CP6;wdlp-CP7;wdlp-CP8;wdlp-CP9;wdlp-CP10;wdlp-CP11;wdlp-CP12;wdlp-HW4;wdlp-HW5;wdlp-HW6;wdlp-HW7;wdlp-HW8;wdlp-HW9;wdlp-HW10;wdlp-HW11;wdlp-HW12;wdlp-HW13;wdlp-HW14;wdlp-HW15;wdlp-HW16;wdlp-HW17;wdlp-HW18;wdlp-HW19;wdlp-HW20;wdlp-MR6;wdlp-MR7;wdlp-PR3;wdlp-PR4;wdlp-PR5;wdlp-PR6;wdlp-PR7;wdlp-PR8;wdlp-PR9;wdlp-PR10;wdlp-PR11;wdlp-PR12;wdlp-PR13;wdlp-PR14;wdlp-PR15;wdlp-PR16;wdlp-PR17;wdlp-BE1;wdlp-BE2;wdlp-BE3;wdlp-RUR1;wdlp-RUR2;wdlp-RUR3;wdlp-RUR4;wdlp-RUR5;wdlp-RUR6;wdlp-RUR7;wdlp-RUR8;wdlp-RUR9;wdlp-RUR10;wdlp-RUR11;wdlp-RUR12;wdlp-DM20;wdlp-DM21;wdlp-DM22;wdlp-DM23;wdlp-DM24;wdlp-DM25;wdlp-DM26;wdlp-DM27;wdlp-DM28;wdlp-DM29;wdlp-DM30;wdlp-DM31;wdlp-DM32;wdlp-DM33;wdlp-DM34;wdlp-DM35;wdlp-DM36;wdlp-DM37;wdlp-DM38;wdlp-DM39;wdlp-DM40;wdlp-DM41;wdlp-DM42;wdlp-DM43;wdlp-DM44;wdlp-DM45;wdlp-DM46;wdlp-DM47,2033-12-31,2020-12-08,E07000007,Wycombe District Local Plan 2019,,local-authority-eng:WYO,2019-08-19,/development-plan-document/local-authority-eng/WYO/dev-plan-buc-wdlp
Covers former WDC area,dev-plan-buc-wdlp,https://www.wycombe.gov.uk/uploads/public/documents/Planning/Adopted-Wycombe-local-plan/Wycombe-District-Local-Plan-Adopted-August-2019.pdf,,wdlp-CP1;wdlp-CP2;wdlp-CP3;wdlp-CP4;wdlp-CP5;wdlp-CP6;wdlp-CP7;wdlp-CP8;wdlp-CP9;wdlp-CP10;wdlp-CP11;wdlp-CP12;wdlp-HW4;wdlp-HW5;wdlp-HW6;wdlp-HW7;wdlp-HW8;wdlp-HW9;wdlp-HW10;wdlp-HW11;wdlp-HW12;wdlp-HW13;wdlp-HW14;wdlp-HW15;wdlp-HW16;wdlp-HW17;wdlp-HW18;wdlp-HW19;wdlp-HW20;wdlp-MR6;wdlp-MR7;wdlp-PR3;wdlp-PR4;wdlp-PR5;wdlp-PR6;wdlp-PR7;wdlp-PR8;wdlp-PR9;wdlp-PR10;wdlp-PR11;wdlp-PR12;wdlp-PR13;wdlp-PR14;wdlp-PR15;wdlp-PR16;wdlp-PR17;wdlp-BE1;wdlp-BE2;wdlp-BE3;wdlp-RUR1;wdlp-RUR2;wdlp-RUR3;wdlp-RUR4;wdlp-RUR5;wdlp-RUR6;wdlp-RUR7;wdlp-RUR8;wdlp-RUR9;wdlp-RUR10;wdlp-RUR11;wdlp-RUR12;wdlp-DM20;wdlp-DM21;wdlp-DM22;wdlp-DM23;wdlp-DM24;wdlp-DM25;wdlp-DM26;wdlp-DM27;wdlp-DM28;wdlp-DM29;wdlp-DM30;wdlp-DM31;wdlp-DM32;wdlp-DM33;wdlp-DM34;wdlp-DM35;wdlp-DM36;wdlp-DM37;wdlp-DM38;wdlp-DM39;wdlp-DM40;wdlp-DM41;wdlp-DM42;wdlp-DM43;wdlp-DM44;wdlp-DM45;wdlp-DM46;wdlp-DM47,2033-12-31,2020-12-08,E07000007,Wycombe District Local Plan 2019,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/dev-plan-buc-wdlp
Aston Abbots Parish,neigh-plan-buc-astonabbotsndp,,,,,2020-12-09,E04001456,Aston Abbots Neighbourhood Plan,,local-authority-eng:AYL,2015-07-08,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-astonabbotsndp
Aston Abbots Parish,neigh-plan-buc-astonabbotsndp,,,,,2020-12-09,E04001456,Aston Abbots Neighbourhood Plan,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-astonabbotsndp
Aston Clinton Parish,neigh-plan-buc-astonclintonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/ACNP_ReferendumVersion_May%202018_0.pdf,,astonclintonndp-HQD1;astonclintonndp-HQD2;astonclintonndp-H1;astonclintonndp-H2;astonclintonndp-H3;astonclintonndp-H4;astonclintonndp-H5;astonclintonndp-B1;astonclintonndp-B2;astonclintonndp-B3;astonclintonndp-B4;astonclintonndp-L1;astonclintonndp-L2;astonclintonndp-L3;astonclintonndp-E1;astonclintonndp-E2;astonclintonndp-T1;astonclintonndp-T2;astonclintonndp-EN1;astonclintonndp-EN2;astonclintonndp-EN3;astonclintonndp-EN4,2033-12-31,2020-12-08,E04001457,Aston Clinton Neighbourhood Plan 2013-2033,,local-authority-eng:AYL,2018-08-08,/development-plan-document/local-authority-eng/AYL/neigh-plan-buc-astonclintonndp
Aston Clinton Parish,neigh-plan-buc-astonclintonndp,https://www.aylesburyvaledc.gov.uk/sites/default/files/page_downloads/ACNP_ReferendumVersion_May%202018_0.pdf,,astonclintonndp-HQD1;astonclintonndp-HQD2;astonclintonndp-H1;astonclintonndp-H2;astonclintonndp-H3;astonclintonndp-H4;astonclintonndp-H5;astonclintonndp-B1;astonclintonndp-B2;astonclintonndp-B3;astonclintonndp-B4;astonclintonndp-L1;astonclintonndp-L2;astonclintonndp-L3;astonclintonndp-E1;astonclintonndp-E2;astonclintonndp-T1;astonclintonndp-T2;astonclintonndp-EN1;astonclintonndp-EN2;astonclintonndp-EN3;astonclintonndp-EN4,2033-12-31,2020-12-08,E04001457,Aston Clinton Neighbourhood Plan 2013-2033,,local-authority-eng:BUC,2020-04-01,/development-plan-document/local-authority-eng/BUC/neigh-plan-buc-astonclintonndp
Beaconsfield Town,neigh-plan-buc-beaconsfieldndp,,,,,2020-12-09,E04001580,Beaconsfield Neighbourhood Plan,,local-authority-eng:SBU,2020-11-09,/development-plan-document/local-authority-eng/SBU/neigh-plan-buc-beaconsfieldndp
